genes	logFC	logCPM	LR	PValue	FDR
MAT2A	0.166743149041972	9.7794372376591	182.334455761775	1.49875843634205e-41	2.18832963642256e-41
LINC00271	0.166681771677676	9.4760166206826	548.893085215557	2.19174236654889e-121	4.43522212340904e-121
AP1S3	0.166543286753403	9.48424818616181	252.35700005913	7.95429800507761e-57	1.2535104079256e-56
DCAF1	0.166338804124251	9.50294810981747	152.215538433298	5.68484490807366e-35	7.98276329992166e-35
IQCJ-SCHIP1	0.166155590757097	9.47647686225029	498.133571904767	2.42141305907115e-110	4.72812503592467e-110
OAZ2	0.166125003393198	9.80936657008039	192.490212903649	9.09472310489604e-44	1.3429966877611e-43
ATP9B	0.166088953609486	9.522910768302	127.974600587346	1.13688624955593e-29	1.54579508729711e-29
CLMP	0.166080464668592	9.47556609756179	606.515550274107	6.40660037072022e-134	1.34636593537622e-133
MED28	0.166029969293907	9.67979634203303	145.980439758532	1.31104406684529e-33	1.82787620545918e-33
BMP4	0.166025658688304	9.47536573893731	649.881982230279	2.37016026210703e-143	5.1358332309654e-143
AP2A2	0.166020165692234	9.63816941538045	133.659204460848	6.48668078156035e-31	8.89027684365805e-31
GGN	0.165990484164971	9.47604443626247	539.049048293729	3.03606020968444e-119	6.09856200128836e-119
RBCK1	0.165984772536984	9.69100798560401	149.497220473269	2.2328346452237e-34	3.1256458393471e-34
LINC01138	0.165919376414521	9.48460096405278	245.965512160257	1.96798843651601e-55	3.08153301293632e-55
BRCA2	0.165911380577203	9.51506631711998	133.825662780411	5.96499651362528e-31	8.17875742781148e-31
NOL8	0.165878240165038	9.59402349248257	123.221875989053	1.24695294311621e-28	1.68398622054465e-28
TTC4	0.165781089112356	9.48414779677505	251.191620811673	1.42776923482547e-56	2.24726632183838e-56
RP11-983P16.4	0.165779448207998	9.47877627901692	367.906029220068	5.34711963188678e-82	9.3810645429842e-82
ADAR	0.165738243510524	9.71463194107863	156.917640992106	5.33514818996343e-36	7.53485646831546e-36
RP11-326I11.3	0.165572953365777	9.49641797498462	168.366847776451	1.68218237760438e-38	2.41376102678916e-38
MED15	0.165570036634908	9.54975956770827	119.339807113895	8.82412522004177e-28	1.18490852518082e-27
CA13	0.165556662848312	9.47765380434274	415.756179378104	2.04726972027508e-92	3.75461979937612e-92
BBS12	0.16553205002986	9.4841005647478	250.998488067529	1.57312045800832e-56	2.47544150044291e-56
RARG	0.165521207326792	9.47644550710477	495.692757008765	8.22521899406159e-110	1.60349560063342e-109
C2orf50	0.165469910633001	9.47546227406657	618.055172975943	1.98039130896566e-136	4.19920118418525e-136
ECE2	0.165371492755344	9.49649122121611	167.699555255858	2.35302300190332e-38	3.37410018791169e-38
RP11-108M9.6	0.16535917895036	9.4808600670662	305.800210649932	1.79531385892139e-68	2.98458990069873e-68
RP11-66N24.4	0.165233303451942	9.47834358782196	381.951788454677	4.67766435576767e-85	8.31270126845009e-85
VIM-AS1	0.16510380749617	9.49133934836928	189.203546089684	4.74440329492044e-43	6.98200299550236e-43
CDK11A	0.16508496903878	9.56804282786397	118.699455972463	1.21862923477166e-27	1.63558869376281e-27
PVT1	0.164969232494814	9.49456568509398	173.939880676429	1.02026596033885e-39	1.47358228087109e-39
PRRG3	0.164921631051058	9.47699947727804	449.704455009394	8.36439233157728e-100	1.57699238061481e-99
IER5L	0.164875814698043	9.59494585555136	121.917583526636	2.40629049587934e-28	3.24264255875122e-28
CSDC2	0.164849605688623	9.47557616031951	589.407294618801	3.37155890679119e-130	7.00864616525457e-130
