genes	logFC	logCPM	LR	PValue	FDR
BAZ2B	-0.0749271625649117	9.6761597691938	29.9170230327873	4.50936338906417e-08	5.19685957407229e-08
COL4A4	-0.0749328445868436	9.47143940411288	219.821439504814	9.8930967978614e-50	1.50718610805824e-49
CTD-3214H19.4	-0.0749431805862766	9.47213963555781	171.148578463051	4.1525064761012e-39	5.98235131380016e-39
CACNA1H	-0.0749553319105268	9.47100223656195	290.673827882597	3.5459768566959e-65	5.79989494483971e-65
APPL1	-0.0749607565301658	9.71978717281771	32.9442258274357	9.48410119333346e-09	1.10152254972509e-08
RP11-673C5.1	-0.0750107857230722	9.47145119052997	219.300220957992	1.28535865060985e-49	1.95697748502281e-49
RP11-774O3.3	-0.0750422326633382	9.4747051960011	102.359034306827	4.63181477654554e-24	6.06329591086441e-24
LDB3	-0.0750558902429795	9.47195887998128	181.626709276716	2.13920456310452e-41	3.11991487545821e-41
WDFY3-AS2	-0.0750921780501173	9.47145013543554	220.067788182902	8.74172761457193e-50	1.33188290975713e-49
YBX1P1	-0.075093591389664	9.47112719420257	261.820977728871	6.88005177216383e-59	1.09490818986284e-58
RPL7AP11	-0.0750946243892521	9.47124920153323	243.01514117339	8.65539501323768e-55	1.34994061331884e-54
KIAA1644	-0.0751142962227368	9.47106886960963	273.784710554593	1.6985131813502e-61	2.73404738912253e-61
ALG3	-0.0751366422853828	9.60300481857428	25.9407274650876	3.52062437196627e-07	4.01912536576951e-07
STARD6	-0.07514427782811	9.47103071104973	284.078367334593	9.70223391439684e-64	1.57746794106684e-63
GSG2	-0.0751699683579679	9.47212223910373	173.300372442211	1.40725150814839e-39	2.03129866777432e-39
KLF7	-0.0751900731027487	9.5887039113003	25.4077261329003	4.64055842377252e-07	5.2885987589511e-07
RPL23AP38	-0.0752470403332958	9.47114582955352	260.370185090774	1.42503276079461e-58	2.26318425343346e-58
ZFAND6	-0.0752852580578059	9.79159201123771	38.7205493358342	4.89033376504779e-10	5.75399771432259e-10
CTDP1	-0.0752906079823599	9.50534512820777	29.9956472361773	4.33017230939956e-08	4.99123978595354e-08
MATN3	-0.0752910582597437	9.47119563992496	252.749568083608	6.53163462680724e-57	1.02981680712698e-56
OSBPL10-AS1	-0.0752934700403953	9.47101781407147	292.019624605844	1.80510956563921e-65	2.95722921737646e-65
FAM101A	-0.0752964695298997	9.47113657615467	262.60696629627	4.63735591294747e-59	7.3860681895301e-59
PCDHB11	-0.0753349255182642	9.47113834791966	262.756019558104	4.30310188770799e-59	6.85538162753512e-59
IL7	-0.075338219047189	9.47223705576792	168.498841214755	1.57413821538658e-38	2.25923059374024e-38
REG1B	-0.0753424640795707	9.47098473000442	250.304678399652	2.22852340808527e-56	3.50392894889174e-56
