genes	logFC	logCPM	LR	PValue	FDR
RP11-214O14.1	-0.0231870712691572	9.50672173333102	88.5532485023814	4.94847295102532e-21	6.96181536234409e-21
WHAMMP2	-0.0231949916512178	9.50699119985373	59.1083083998337	1.49227830217297e-14	1.95994836828541e-14
AKR1C1	-0.0232030561374411	9.50739510319069	41.9753055861797	9.24333911132721e-11	1.15946277369413e-10
HSP90AA4P	-0.0232238401221496	9.50692701567334	63.7877455710395	1.3857289079117e-15	1.84022128758406e-15
RP11-212I21.2	-0.0232434051932274	9.5109057845216	13.3648021870431	0.000256390953915485	0.000289237674963883
TMBIM6	-0.0232455815594611	10.3388030595225	9.75490471172088	0.00178844912433309	0.00197722599118605
SVOPL	-0.0232477043752057	9.5067247814267	88.798442778234	4.37159932474518e-21	6.15416011047183e-21
HUS1B	-0.0232608457469017	9.50805107462167	29.3664303854921	5.9906436017189e-08	7.22546756240379e-08
HIST1H3E	-0.0232933943752368	9.50967762266032	17.3186712567403	3.16066017758832e-05	3.63710477764221e-05
DDX47	-0.0232997729378496	9.51448743000722	8.44432006293573	0.00366185321637881	0.0040146079672275
PASK	-0.0232998276109425	9.51648632774833	7.13305640020553	0.00756756242202886	0.00822703505244173
ANKRD31	-0.0233550674960878	9.50690313485847	66.7109309497719	3.14386941613862e-16	4.20453609403136e-16
PCDHGB1	-0.0233602277398334	9.50673040732423	89.2537411528333	3.47285521443732e-21	4.89623741271146e-21
LINC01132	-0.0233660950847039	9.50719195422723	49.7865823959032	1.71412183439688e-12	2.19893292199517e-12
RP3-510D11.2	-0.0234686361871068	9.51252015012803	10.669826073723	0.00108897356519154	0.00121140832428661
RP11-134K1.2	-0.0234749095382554	9.506755349787	85.7343533767762	2.05806270720966e-20	2.87806866854768e-20
TP53TG3D	-0.023477850644848	9.50704382356006	57.7136017290777	3.03198945738409e-14	3.96592373468825e-14
AC092580.4	-0.023483763741635	9.51046906193558	14.8150556530118	0.000118584993872664	0.00013497390517173
RP11-356C4.3	-0.0234955246561118	9.51010710397888	15.980597875232	6.39949884606382e-05	7.32256734098205e-05
SGK2	-0.0234998741325243	9.50700648661429	60.1390671938461	8.83864768160785e-15	1.16324832030073e-14
PRSS55	-0.023516650954525	9.50671900206937	95.7502015081191	1.3033323420115e-22	1.86332495312572e-22
SULT1A2	-0.0235192033628606	9.50808337279006	29.6482814753763	5.17985316588318e-08	6.25249198056616e-08
TSNARE1	-0.0235248757738799	9.51285327197793	10.280147950034	0.00134469163970089	0.00149194698780163
ADCYAP1	-0.023532897036577	9.50694288292493	64.887927984315	7.92812962914548e-16	1.05559480029033e-15
GVQW2	-0.023583654559398	9.50747517158156	41.2960836628417	1.30830752698635e-10	1.63800465499432e-10
RP11-715I4.1	-0.023587051523792	9.5068440399135	74.4316061197583	6.27758711346313e-18	8.55752397170441e-18
CECR7	-0.0236437113808737	9.51018823592629	15.9117370736622	6.63658822722182e-05	7.59079139825383e-05
RP3-414A15.10	-0.0236511822224205	9.51051463393979	14.9002441767661	0.000113348313019926	0.00012907270893973
TEX40	-0.0236618169141767	9.5067647117048	86.4803637571008	1.41131692136613e-20	1.97642124146441e-20
KCNIP4-IT1	-0.0236749473642001	9.50674613960945	90.5274298786803	1.82430202671045e-21	2.58007315278245e-21
PPIAP11	-0.0236859773617519	9.50674668171364	90.572295377307	1.78340091249044e-21	2.52276682425417e-21
FAAH2	-0.023691404852025	9.50680463934897	80.4127500457698	3.0382843035831e-19	4.19621925109716e-19
GRIP1	-0.0237260250303133	9.50694093817892	66.4477347004281	3.5929503053661e-16	4.80253738709047e-16
PPIAP9	-0.023744864876158	9.50674962535875	90.810698669889	1.58096221870792e-21	2.23815535783986e-21
LINC01144	-0.0237595681269382	9.50696184333505	65.0623947540707	7.2563696765067e-16	9.66801539499933e-16
RP11-1008C21.1	-0.0237637507367539	9.51138238115712	12.9026669179875	0.000328114275642371	0.000369309977483825
TESPA1	-0.0237885476030374	9.5102022547553	16.0666847636412	6.1150428658046e-05	6.99869512169817e-05
PCA3	-0.0237980018092493	9.50690609591718	70.0096281487008	5.9015698453932e-17	7.95479513014359e-17
AZU1	-0.0237992879267753	9.50723293824055	50.3008046814425	1.31895447571756e-12	1.69429864953997e-12
RPL31P2	-0.0238121861748295	9.50687453072918	73.2056282558128	1.1682215999833e-17	1.58792373075391e-17
PRICKLE3	-0.0238136601412242	9.51406162889573	9.20640209445992	0.00241170211804105	0.00265753184759487
MIR137HG	-0.0238220530116288	9.50679194893458	83.8038315983936	5.46388100138959e-20	7.60658694785583e-20
RPSAP4	-0.023826261276693	9.50677292100119	87.1371120694566	1.01252667782369e-20	1.42015613747754e-20
RPS10P2	-0.0238373417376175	9.50679270400339	83.8641184360654	5.29977554989028e-20	7.38019680868746e-20
BCL2L15	-0.0238434413092775	9.50725436552047	49.6590583325938	1.82923571416443e-12	2.34539214823874e-12
ZP1	-0.0238666017014488	9.50681340537732	81.0936513838765	2.15270422539062e-19	2.97914331791612e-19
GPR4	-0.0238959523751272	9.50677642367615	87.4153377783973	8.79656902348504e-21	1.23440541556937e-20
SNORD3B-2	-0.0239112634113491	9.51626715162475	7.64212279159074	0.00570207735225517	0.0062231843884065
GNMT	-0.0239222477953571	9.51048709084767	15.3377696182924	8.99010253188763e-05	0.000102572749513052
RP11-120J4.1	-0.0239262483578197	9.50684685073867	77.3597289791637	1.42491098560071e-18	1.95369116069377e-18
AC005019.2	-0.0239418274433452	9.50687810583303	73.9940899603071	7.83512576204301e-18	1.06682840176326e-17
GRAP2	-0.0239424017488821	9.50832265152525	27.8651660152054	1.30070508293842e-07	1.56188483793101e-07
DNAJC9-AS1	-0.0239511250953489	9.50704833882463	60.4474416255935	7.55695189752981e-15	9.95423289502068e-15
RPL7P24	-0.0239600432478246	9.50677961409003	87.6714446528563	7.72820973187457e-21	1.08486814313775e-20
PKP2	-0.0239771469708764	9.5086444018583	24.8065652366149	6.33812265756253e-07	7.5252173540289e-07
RPL11P5	-0.023994049816155	9.50681178948843	82.7464934963582	9.32811434656865e-20	1.29625718371977e-19
XYLB	-0.0240038882507932	9.51648036210758	7.57907993526533	0.00590495724568685	0.00644070953521968
KCNAB1	-0.0240632351383743	9.51262717720354	11.0751165788224	0.000874939189698362	0.000975661162825613
GPR88	-0.0240718047197052	9.50674676032865	98.0296120251369	4.12172559581396e-23	5.92168003081545e-23
HBQ1	-0.0240802131569379	9.5068240974798	81.924516389623	1.4138458394112e-19	1.96128125668392e-19
RPS27AP3	-0.0240819678898243	9.50681618966211	83.0903578199555	7.83871135594117e-20	1.08982027873858e-19
SOCS2-AS1	-0.0240961203351456	9.50707810450104	59.5709396675561	1.17964282925242e-14	1.55066897642241e-14
MTRNR2L6	-0.0241089164430323	9.50910721440975	21.6635536008744	3.24906132423615e-06	3.81085977800728e-06
AC009133.12	-0.0241102836752051	9.51171913509264	12.6120667102769	0.000383264507858945	0.000430749374404549
