genes	logFC	logCPM	LR	PValue	FDR
MAMDC2-AS1	-0.0587285783854928	9.50874973706834	213.338100786477	2.56810919147976e-48	4.50360763672824e-48
BCO1	-0.0587737566289372	9.50844551005114	253.05641849961	5.59923554498811e-57	1.03332056807926e-56
CNTD1	-0.0587747671170144	9.51021266160427	131.690313770463	1.74878888009951e-30	2.71957703456986e-30
RP11-503C24.2	-0.058793107774337	9.50834705224915	271.725478356275	4.77367798749582e-61	8.9910761715522e-61
RP11-1277A3.3	-0.05879381596526	9.50854578346183	238.147492254491	9.96876354495457e-54	1.80661083674451e-53
LINC01547	-0.0588085890831336	9.51182107095649	96.1222952962671	1.08001682693322e-22	1.56892146534221e-22
RP11-680F8.3	-0.0588240131893707	9.50873165984157	216.122427477417	6.34182941337307e-49	1.11608999997011e-48
CTC-338M12.4	-0.0588420684822825	9.5108957736766	113.587746828945	1.6042268163737e-26	2.41656753577604e-26
SNX31	-0.0588440414289869	9.50836359067089	269.040857107918	1.83633375660053e-60	3.44951281478397e-60
CTC-239J10.1	-0.0588869895170441	9.50828869452024	287.018513072042	2.21925254079475e-64	4.2632331039193e-64
ZNF20	-0.058909596674119	9.51093832196107	112.910933339694	2.25688655667791e-26	3.39482261287936e-26
RP11-143A12.3	-0.0589465632488073	9.50863798502544	227.911255044311	1.70165644066055e-51	3.0454893628702e-51
CYP27C1	-0.058954648206292	9.50880276288394	210.152282429337	1.27245417855422e-47	2.22105976043833e-47
SZRD1	-0.0590284915179172	9.66211022532704	23.2862068412069	1.39597539680001e-06	1.68065750792712e-06
LINC00941	-0.059130961144981	9.50836261341819	273.498777754712	1.96057613572819e-61	3.70146629334473e-61
KCP	-0.0591513564228371	9.51189491469116	96.1763573711487	1.05092424800361e-22	1.52699447103775e-22
LINC01354	-0.0591652245646123	9.50912469576459	185.349577622444	3.29217226898294e-42	5.55968988298931e-42
RARRES1	-0.0591764480851776	9.52730180668148	34.7452834884098	3.75788017386231e-09	4.71022454631002e-09
RPL31P12	-0.0591766213468311	9.50850294620399	255.709001488253	1.47870245285592e-57	2.73474527434628e-57
PPP4R3A	-0.0591781037676527	9.63959330207466	22.4574974270799	2.14845241370121e-06	2.57985864281817e-06
MMP24-AS1	-0.0592115153497936	9.71102510745668	25.9669775707444	3.47307594975401e-07	4.22051132374442e-07
RP11-69L16.5	-0.0592242396600816	9.5086355185033	231.132006763258	3.37655140759676e-52	6.06935268411342e-52
RPL21P75	-0.0593447216249576	9.51092726112485	115.964771800996	4.83814880788672e-27	7.31861729585668e-27
RPS26P47	-0.0594056247084188	9.50921357613164	181.197829150435	2.65393513978274e-41	4.45570162869292e-41
C11orf87	-0.0595144479361222	9.50839448354292	272.546608106037	3.1615247040773e-61	5.9614233637209e-61
CCL27	-0.0595629865940123	9.50839672389812	272.800562250161	2.78323806311438e-61	5.24911716806293e-61
SYCE3	-0.0595715227240385	9.51135812988442	106.882595927702	4.72338550870035e-25	7.01929886018902e-25
GTF3C2	-0.0596086102224419	9.56811508066026	22.4524330100394	2.15412458996383e-06	2.58651330076238e-06
ABCB7	-0.0596293837608509	9.58131557440121	21.9026946898812	2.86830866444078e-06	3.435324062987e-06
ERGIC1	-0.0596866212008797	9.69485998670891	25.47583025317	4.47959747928909e-07	5.43499301723393e-07
AC093901.1	-0.0597036286210325	9.50974564576048	154.343500548535	1.94832297570517e-35	3.15135803290654e-35
MAGI2-AS3	-0.0597131211830385	9.52126307095809	44.3596139038964	2.7326671644852e-11	3.52286164462862e-11
ZBTB20-AS4	-0.0597420831180609	9.50846176759366	262.903313464213	3.99646837018305e-59	7.45576691525456e-59
AC144449.1	-0.0597634355840515	9.50916667497463	186.94587106164	1.4757377542582e-42	2.49790576040566e-42
TDO2	-0.0598110317294599	9.50917611232701	185.681057041668	2.78688331845739e-42	4.70717897240594e-42
ADNP-AS1	-0.0598175018451847	9.51199635761463	96.9358457023427	7.16104252692482e-23	1.04194979894732e-22
SMOC2	-0.0599404951687562	9.50956396279807	164.45778399734	1.2015919762909e-37	1.97378114254918e-37
CCDC88A	-0.0599704212739401	9.88627688565331	38.5480782639206	5.34213444057526e-10	6.77728887034437e-10
RPL4P4	-0.0600040466901229	9.51240193864836	93.6827332847897	3.70377909203116e-22	5.35376938450472e-22
RP11-473I1.5	-0.0600222982033487	9.52058241395358	46.347745222065	9.90213882467659e-12	1.28397237467943e-11
RP11-181E10.3	-0.0600230364588651	9.51057981025758	126.740036190998	2.1177389047126e-29	3.26545072877063e-29
CFAP65	-0.0600613949307008	9.50834868971213	291.743261648547	2.07357256521065e-65	4.00898775319511e-65
SNX15	-0.0600649920243169	9.51035834080783	133.471446285606	7.1300822553128e-31	1.11273685016078e-30
OSR1	-0.0601540541312148	9.50845237057375	270.269323744446	9.91314419236923e-61	1.86427976056608e-60
ZNF703	-0.0601639977402676	9.565623497402	23.0524659389048	1.57640191112573e-06	1.89672800266874e-06
CTD-2206G10.2	-0.0602091455346715	9.51046436185229	130.938187007399	2.55437778872173e-30	3.9680120803435e-30
LINC01607	-0.0602367763213606	9.50837097619721	289.08058831702	7.88658296928963e-65	1.51855741923225e-64
LINC01571	-0.0602507443152085	9.50863557503349	242.30843981336	1.23416274239882e-54	2.24895906271868e-54
FAM120AOS	-0.0603195247628536	9.63038140984605	22.9903785978095	1.62814207214673e-06	1.95850689987686e-06
ID2-AS1	-0.060333185895733	9.50951131831713	169.772681614278	8.29497879717333e-39	1.37244697537759e-38
TXNRD3	-0.0603389292374218	9.51706505572605	57.9623865351023	2.67177896725098e-14	3.5714890181841e-14
LINC00880	-0.0603443538660304	9.50844696058677	274.022583450596	1.50739908904886e-61	2.84778765652405e-61
ELANE	-0.060346450072045	9.50853227077978	258.739663703153	3.23029270147737e-58	5.9954039217246e-58
DMRT1	-0.0604485693979036	9.50835233304965	297.636118793248	1.07842054644937e-66	2.09765689983605e-66
SPINK2	-0.0604654056481455	9.50892230716014	212.445900402809	4.02025884926178e-48	7.0396204358313e-48
OGDHL	-0.0604791344510675	9.5084531730454	274.72592520014	1.05912414686892e-61	2.00223793380839e-61
TMEM189	-0.0604920006902944	9.59985465411582	22.4184850828678	2.19253628973146e-06	2.63183914596856e-06
AP000692.10	-0.0605219132834637	9.51564262839964	65.2831101366119	6.48749857917545e-16	8.82367380247203e-16
ARHGEF3	-0.0605300464960633	9.56960309497234	23.0548274029861	1.57446688936762e-06	1.89451462989806e-06
CASP7	-0.0605551777502951	9.55629556143862	24.3425035678301	8.06399484951874e-07	9.74573279992985e-07
METTL17	-0.0605798837800322	9.58905674105991	22.4794938039559	2.1239896913699e-06	2.55110120389167e-06
WNT5B	-0.0605897230396629	9.51356102294874	80.6576902849083	2.68407932207459e-19	3.77131575708173e-19
BGLAP	-0.0606036219941212	9.50934768536714	181.149494715708	2.7192134709151e-41	4.56452545422217e-41
ARHGAP19	-0.0606281149239469	9.52551732536084	38.5949457331117	5.21538054980215e-10	6.61775176783487e-10
ADAM32	-0.0606595926245392	9.5097477561664	159.974321138382	1.14619592800228e-36	1.87224893251495e-36
CLEC16A	-0.0606851178768229	9.5333450698092	31.5712123785161	1.92258685490392e-08	2.38333045382131e-08
FAM157C	-0.0606932611101584	9.5131517355466	85.0645331932283	2.88784347393653e-20	4.09852822815104e-20
RP11-359E10.1	-0.0607431729872562	9.50999534709096	149.823565747525	1.89462911563092e-34	3.04047531428223e-34
EXOC3L1	-0.0607498459395034	9.51147082026793	109.27568482565	1.4121394829731e-25	2.10991752921184e-25
HECTD2	-0.0607789651177628	9.55150280499826	25.2926921573526	4.92571429155211e-07	5.97370018689516e-07
RP13-582O9.7	-0.0608211034855	9.51172936304841	104.832926368199	1.32880787104454e-24	1.96631466670334e-24
MAGEL2	-0.0608497904871449	9.50918875532309	193.704577080015	4.94016924134491e-44	8.44333756154428e-44
PTPRR	-0.0608761402525213	9.50842886298176	285.793589547722	4.1031541018557e-64	7.86474192309339e-64
AC022182.2	-0.0608797521309348	9.51225547585088	96.7422795140537	7.89649066995324e-23	1.14853837620718e-22
DCDC1	-0.0608928962356406	9.50851730110024	268.405940771552	2.52540627947901e-60	4.74167664696807e-60
TTC34	-0.0609051077600656	9.51007630843629	147.567389628924	5.89791616647823e-34	9.42602786635478e-34
RP11-26H16.1	-0.0609070468445067	9.50920531742485	193.235478055815	6.25354943550567e-44	1.06797839611011e-43
AIFM2	-0.0609163568765109	9.52780252377064	36.3049745814315	1.68732629583013e-09	2.1243293574143e-09
HOXA11-AS	-0.0609204524542515	9.50835987308717	304.270159038902	3.86784490698163e-68	7.57464091897103e-68
SCRT2	-0.0609381791450876	9.50877267483166	232.518357406525	1.68323029795776e-52	3.03027255817376e-52
