genes	logFC	logCPM	LR	PValue	FDR
HOXA13	0.06533152271578	9.50823909179665	78.2146097472551	9.2432354134809e-19	1.61269107319593e-18
PSMG3-AS1	0.0653100260798307	9.53073066628676	16.313290046066	5.36861078075458e-05	7.01073667849312e-05
RP11-293A21.1	0.0652661733917933	9.51048573830379	49.5424288835639	1.94127585934011e-12	3.03580548819592e-12
RP11-262H14.3	0.0652639185220245	9.52163418501349	21.2041754065722	4.12864093745247e-06	5.58552691204122e-06
GLE1	0.065249498167684	9.55896977898117	12.1489405483953	0.000491157570567778	0.000618794938468278
MIA	0.0652428592311493	9.50796534030889	84.4381410961087	3.96425953886944e-20	7.04410235698126e-20
TMEM74B	0.0651643967752985	9.50718594528747	111.69967932543	4.15750009059538e-26	8.01924798815715e-26
FBF1	0.0651491133041157	9.52606133875843	18.1970441597805	1.99187731995377e-05	2.63969960916355e-05
ECE1	0.065074333428595	9.55314377847991	12.4506536147674	0.000417845572762384	0.000527737761895501
RP11-798L4.1	0.0650252983480495	9.50933834720864	60.0542099794539	9.22804071104508e-15	1.50437907213817e-14
ANKLE1	0.0650091285963191	9.51099301087108	45.6782883041633	1.39358903688831e-11	2.1451803322599e-11
LHX4	0.064974433422413	9.50743609155791	100.335663261966	1.2863952526476e-23	2.40236855236634e-23
POLR3C	0.0649492460455737	9.55494101201815	12.2760969774608	0.000458796893069207	0.000578649090273725
SEMA7A	0.0648925406355852	9.52570701743386	18.2413406654559	1.94608659287227e-05	2.58004987611575e-05
DRD2	0.0648729029101332	9.50908915539653	62.9275153985173	2.14455280592282e-15	3.53207900522414e-15
SPOCK2	0.0647943837685996	9.5821078213942	11.3659676521638	0.000748020962781006	0.000935815951419944
C4orf33	0.0647760960578255	9.55883713004836	11.9797677658135	0.000537812860679523	0.000676286724453064
KREMEN2	0.0647730327152099	9.50761352988106	93.4932237616044	4.07593569991329e-22	7.45614486376764e-22
AP3S1	0.0645461740381408	9.77077568229616	15.6954360516247	7.44034851916877e-05	9.66529467952495e-05
SUOX	0.0644907658484215	9.5357921559554	14.5240885349376	0.000138378768627909	0.000178034731297513
FAM27E3	0.0644511121348425	9.50866246479182	68.4481210880067	1.30259786801528e-16	2.18878788387803e-16
AL133245.2	0.06444302906985	9.50911336670217	61.840813407699	3.7237560266369e-15	6.11071596665474e-15
LSM14A	0.0644151849451683	9.78581677006331	16.1519156493305	5.84594146489978e-05	7.62453976838815e-05
FAM86B1	0.0644091617430399	9.52273891321355	19.8069906413402	8.56687833438459e-06	1.14873261167994e-05
FBXO36	0.0643637930987799	9.52353444724268	19.2294666349044	1.15910367129736e-05	1.54723852766897e-05
CHRNB1	0.064232582210656	9.57053391882104	11.3498939809288	0.000754522762682592	0.000943890570636839
RP11-286N22.8	0.0642257484331695	9.50918399854138	60.5557360963021	7.1524368185213e-15	1.16840795040338e-14
TACR1	0.0642251292261617	9.50666423974687	142.847963310312	6.34560634638763e-33	1.33010449638929e-32
HPS6	0.0641606802897109	9.53073516121805	15.7465738947722	7.24189767802831e-05	9.41181149250301e-05
FRYL	0.0641474381256263	9.61270876774885	11.2525877976659	0.000795120850581438	0.000993675773979372
TECR	0.0641345825077315	9.91433549556437	20.8175471487775	5.05179913617361e-06	6.81632285892411e-06
